ADJ2_RA,ADJ_18__A,ADJ_18__B,ADJ_18__H,ADJ_18__I,ADJ_18__O,ADJ_18__P,ADJ_18__W,ADJ_AMI,ADJ_ASI,ADJ_BLA,ADJ_HAW,ADJ_MUL,ADJ_OTH,ADJ_POP,ADJ_WHI,CCn-DEM,CCn-REP,CEx-DEM,CEx-REP,CNG02,COUNTY,HOUSING,HU_OCCU,LEG02,MCD,NAME,PLACE,STATE,UNADJHI,UNADJPO,VTD,VTD_1
48.0,390.0,161.0,1.0,2.0,5.0,1902.0,1318.0,4.0,577.0,245.0,1.0,48.0,12.0,2541.0,1654.0,329.0,409.0,403.0,347.0,2407,24027,1014.0,988.0,2409A,2402790144,Howard Precinct 02-006,2426000,24,68.0,2541,3,02-006
209.0,1809.0,629.0,7.0,19.0,223.0,4633.0,1822.0,25.0,2540.0,864.0,7.0,209.0,306.0,5987.0,2036.0,453.0,298.0,482.0,278.0,2407,24027,2604.0,2435.0,2409A,2402790144,Howard Precinct 02-009,2426000,24,505.0,5987,3,02-009
25.0,158.0,76.0,0.0,2.0,11.0,1314.0,1053.0,3.0,222.0,101.0,0.0,25.0,19.0,1766.0,1396.0,200.0,382.0,316.0,292.0,2407,24027,610.0,598.0,2409A,2402790144,Howard Precinct 02-024,2426000,24,59.0,1765,3,02-024
41.0,158.0,55.0,0.0,2.0,5.0,1532.0,1298.0,3.0,187.0,76.0,0.0,41.0,6.0,2092.0,1779.0,243.0,542.0,424.0,399.0,2407,24027,703.0,676.0,2409A,2402790144,Howard Precinct 02-007,2426000,24,63.0,2092,3,02-007
90.0,212.0,79.0,2.0,4.0,7.0,2115.0,1760.0,6.0,307.0,109.0,2.0,90.0,8.0,2855.0,2333.0,366.0,717.0,555.0,553.0,2407,24027,958.0,931.0,24013,2402790420,Howard Precinct 05-011,,24,74.0,2852,2,05-011
37.0,143.0,97.0,0.0,5.0,23.0,1558.0,1277.0,9.0,198.0,143.0,0.0,37.0,29.0,2135.0,1719.0,228.0,537.0,357.0,406.0,2407,24027,708.0,681.0,24013,2402790420,Howard Precinct 05-020,,24,81.0,2135,2,05-020
42.0,144.0,100.0,3.0,1.0,11.0,1753.0,1479.0,2.0,208.0,160.0,3.0,42.0,24.0,2534.0,2095.0,236.0,698.0,427.0,529.0,2407,24027,838.0,797.0,2409A,,Howard Precinct 04-006,,24,74.0,2533,3,04-006
46.0,64.0,40.0,0.0,2.0,3.0,1427.0,1296.0,2.0,94.0,50.0,0.0,46.0,8.0,2028.0,1828.0,221.0,621.0,378.0,505.0,2407,24027,667.0,643.0,2409A,2402790328,Howard Precinct 04-002,,24,56.0,2028,3,04-002
68.0,192.0,102.0,0.0,3.0,24.0,2229.0,1881.0,3.0,271.0,156.0,0.0,68.0,28.0,3074.0,2548.0,361.0,774.0,491.0,672.0,2407,24027,999.0,971.0,24013,2402790420,Howard Precinct 05-019,,24,83.0,3073,2,05-019
105.0,404.0,164.0,0.0,9.0,22.0,2504.0,1862.0,12.0,538.0,233.0,0.0,105.0,33.0,3462.0,2541.0,400.0,750.0,561.0,627.0,2407,24027,1180.0,1089.0,2409A,2402790420,Howard Precinct 05-001,,24,120.0,3462,2,05-001
64.0,183.0,130.0,0.0,0.0,8.0,1729.0,1382.0,0.0,256.0,182.0,0.0,64.0,8.0,2424.0,1914.0,274.0,600.0,410.0,500.0,2407,24027,755.0,740.0,2409A,2402790236,Howard Precinct 03-006,,24,68.0,2422,3,03-006
119.0,373.0,179.0,0.0,3.0,6.0,2158.0,1552.0,9.0,520.0,272.0,0.0,119.0,12.0,3095.0,2163.0,468.0,498.0,546.0,448.0,2407,24027,1051.0,974.0,24013,2402790420,Howard Precinct 05-006,,24,94.0,3095,2,05-006
114.0,441.0,221.0,0.0,5.0,32.0,2369.0,1616.0,5.0,652.0,303.0,0.0,114.0,49.0,3369.0,2246.0,412.0,631.0,580.0,490.0,2407,24027,1056.0,1038.0,24013,2402790512,Howard Precinct 06-028,,24,124.0,3369,2,06-028
62.0,158.0,97.0,0.0,2.0,18.0,1569.0,1260.0,2.0,200.0,148.0,0.0,62.0,24.0,2110.0,1674.0,254.0,441.0,361.0,342.0,2407,24027,687.0,679.0,24013,2402790512,Howard Precinct 06-032,2470530,24,100.0,2109,2,06-032
40.0,140.0,111.0,0.0,2.0,18.0,1415.0,1126.0,2.0,209.0,192.0,0.0,40.0,26.0,1929.0,1460.0,279.0,393.0,378.0,311.0,2407,24027,723.0,711.0,24013,2402790512,Howard Precinct 06-003,2470530,24,75.0,1928,2,06-003
118.0,511.0,209.0,1.0,8.0,17.0,2320.0,1531.0,8.0,719.0,284.0,1.0,118.0,23.0,3174.0,2021.0,547.0,561.0,667.0,454.0,2403,24027,1037.0,1012.0,24013,2402790420,Howard Precinct 05-005,,24,81.0,3174,2,05-005
64.0,105.0,187.0,0.0,3.0,31.0,1265.0,908.0,6.0,135.0,253.0,0.0,64.0,45.0,1643.0,1140.0,315.0,148.0,328.0,140.0,2407,24027,640.0,626.0,2412B,2402790420,Howard Precinct 05-013,2419125,24,195.0,1643,2,05-013
88.0,181.0,296.0,0.0,3.0,12.0,1477.0,946.0,3.0,228.0,406.0,0.0,88.0,19.0,1838.0,1094.0,346.0,176.0,384.0,145.0,2407,24027,763.0,740.0,2412B,2402790420,Howard Precinct 05-023,2419125,24,80.0,1837,2,05-023
210.0,286.0,1053.0,1.0,12.0,125.0,2688.0,1088.0,18.0,352.0,1567.0,1.0,210.0,166.0,3663.0,1349.0,494.0,177.0,519.0,157.0,2407,24027,1444.0,1380.0,2412B,2402790420,Howard Precinct 05-009,2419125,24,515.0,3649,2,05-009
31.0,33.0,156.0,0.0,0.0,10.0,837.0,621.0,2.0,38.0,207.0,0.0,31.0,18.0,1065.0,769.0,282.0,122.0,318.0,97.0,2407,24027,402.0,396.0,2412B,2402790420,Howard Precinct 05-002,2419125,24,48.0,1065,3,05-002
3.0,6.0,2.0,0.0,1.0,0.0,70.0,58.0,1.0,13.0,2.0,0.0,3.0,0.0,99.0,80.0,10.0,9.0,15.0,5.0,2407,24027,37.0,34.0,2409A,2402790144,Howard Precinct 02-022,,24,2.0,99,3,02-022
87.0,250.0,156.0,0.0,4.0,7.0,2055.0,1600.0,4.0,340.0,212.0,0.0,87.0,16.0,2833.0,2174.0,350.0,650.0,515.0,526.0,2407,24027,954.0,928.0,2409A,2402790236,Howard Precinct 03-003,,24,57.0,2833,2,03-003
28.0,187.0,91.0,0.0,4.0,11.0,1665.0,1355.0,5.0,256.0,127.0,2.0,28.0,13.0,2157.0,1726.0,218.0,547.0,332.0,463.0,2407,24027,772.0,747.0,2409A,2402790236,Howard Precinct 03-001,,24,40.0,2155,2,03-001
3.0,30.0,13.0,0.0,0.0,0.0,228.0,183.0,0.0,41.0,17.0,0.0,3.0,0.0,340.0,279.0,70.0,67.0,56.0,80.0,2407,24027,108.0,105.0,2409A,2402790236,Howard Precinct 03-004,,24,3.0,340,2,03-004
78.0,659.0,88.0,0.0,0.0,3.0,2119.0,1338.0,0.0,867.0,127.0,0.0,78.0,14.0,2893.0,1807.0,494.0,486.0,600.0,405.0,2407,24027,955.0,932.0,2409A,2402790144,Howard Precinct 02-017,,24,65.0,2893,3,02-017
135.0,304.0,493.0,0.0,2.0,33.0,2616.0,1725.0,3.0,389.0,667.0,0.0,135.0,41.0,3369.0,2134.0,701.0,332.0,760.0,308.0,2407,24027,1418.0,1380.0,2412B,2402790420,Howard Precinct 05-015,2419125,24,186.0,3367,2,05-015
123.0,107.0,537.0,0.0,9.0,45.0,2033.0,1270.0,10.0,131.0,753.0,0.0,123.0,65.0,2506.0,1424.0,594.0,202.0,627.0,179.0,2407,24027,1305.0,1218.0,2412B,2402790420,Howard Precinct 05-008,2419125,24,169.0,2504,3,05-008
136.0,205.0,861.0,2.0,11.0,48.0,2614.0,1396.0,13.0,249.0,1211.0,6.0,136.0,72.0,3267.0,1580.0,610.0,213.0,642.0,193.0,2407,24027,1588.0,1494.0,2412B,2402790420,Howard Precinct 05-004,2419125,24,234.0,3262,3,05-004
47.0,65.0,172.0,0.0,1.0,38.0,802.0,501.0,1.0,78.0,244.0,0.0,47.0,55.0,1041.0,616.0,254.0,123.0,262.0,109.0,2403,24027,352.0,346.0,24013,2402790512,Howard Precinct 06-012,2419125,24,83.0,1041,1,06-012
146.0,169.0,657.0,1.0,31.0,242.0,2064.0,877.0,58.0,213.0,951.0,4.0,146.0,346.0,2809.0,1091.0,413.0,141.0,439.0,122.0,2403,24027,1146.0,1094.0,24013,2402790512,Howard Precinct 06-008,2419125,24,617.0,2806,1,06-008
179.0,296.0,879.0,0.0,8.0,148.0,2612.0,1200.0,9.0,355.0,1310.0,0.0,179.0,217.0,3477.0,1407.0,634.0,190.0,651.0,155.0,2403,24027,1447.0,1402.0,24013,2402790512,Howard Precinct 06-017,2419125,24,465.0,3471,1,06-017
188.0,127.0,796.0,1.0,23.0,164.0,2152.0,942.0,38.0,159.0,1150.0,1.0,188.0,242.0,2912.0,1134.0,584.0,150.0,593.0,138.0,2403,24027,1174.0,1112.0,24013,2402790512,Howard Precinct 06-009,2419125,24,590.0,2904,1,06-009
18.0,55.0,96.0,1.0,1.0,8.0,850.0,677.0,1.0,65.0,124.0,2.0,18.0,16.0,1036.0,810.0,244.0,193.0,261.0,179.0,2407,24027,408.0,403.0,2412B,2402790420,Howard Precinct 05-014,2419125,24,46.0,1036,3,05-014
57.0,237.0,34.0,1.0,3.0,8.0,1184.0,889.0,4.0,348.0,50.0,1.0,57.0,8.0,1644.0,1176.0,317.0,315.0,408.0,245.0,2407,24027,551.0,546.0,2409A,2402790144,Howard Precinct 02-010,2426000,24,43.0,1643,3,02-010
223.0,293.0,945.0,0.0,14.0,64.0,3240.0,1817.0,17.0,351.0,1335.0,0.0,223.0,79.0,4033.0,2028.0,651.0,249.0,722.0,200.0,2407,24027,2187.0,2009.0,2412B,2402790420,Howard Precinct 05-003,2419125,24,303.0,4029,1,05-003
118.0,364.0,511.0,2.0,15.0,55.0,2420.0,1407.0,20.0,429.0,680.0,4.0,118.0,67.0,2921.0,1603.0,416.0,183.0,456.0,158.0,2407,24027,1572.0,1491.0,2412B,2402790420,Howard Precinct 05-016,2419125,24,242.0,2921,1,05-016
44.0,136.0,65.0,1.0,1.0,5.0,994.0,772.0,3.0,189.0,78.0,1.0,44.0,8.0,1299.0,976.0,294.0,156.0,337.0,121.0,2407,24027,498.0,488.0,2409A,2402790144,Howard Precinct 02-014,2426000,24,57.0,1298,3,02-014
104.0,115.0,291.0,0.0,5.0,50.0,1506.0,1004.0,5.0,131.0,395.0,0.0,104.0,79.0,1941.0,1227.0,454.0,216.0,500.0,185.0,2403,24027,734.0,720.0,24013,2402790512,Howard Precinct 06-005,2419125,24,201.0,1941,1,06-005
101.0,122.0,627.0,0.0,8.0,74.0,1733.0,855.0,14.0,168.0,874.0,0.0,101.0,109.0,2266.0,1000.0,475.0,143.0,500.0,123.0,2403,24027,1009.0,953.0,24013,2402790512,Howard Precinct 06-031,2419125,24,281.0,2263,1,06-031
103.0,109.0,363.0,0.0,1.0,19.0,1628.0,1097.0,1.0,151.0,463.0,0.0,103.0,31.0,2172.0,1423.0,593.0,253.0,636.0,215.0,2407,24027,759.0,745.0,24013,2402790512,Howard Precinct 06-010,2419125,24,154.0,2172,1,06-010
81.0,218.0,318.0,0.0,2.0,41.0,1516.0,908.0,4.0,311.0,429.0,0.0,81.0,54.0,2043.0,1164.0,564.0,229.0,623.0,208.0,2403,24027,731.0,716.0,24013,2402790512,Howard Precinct 06-011,2419125,24,149.0,2041,1,06-011
111.0,321.0,616.0,0.0,10.0,116.0,1804.0,676.0,19.0,381.0,850.0,0.0,111.0,161.0,2292.0,770.0,353.0,87.0,367.0,83.0,2403,24027,1169.0,1094.0,24013,2402790512,Howard Precinct 06-021,2419125,24,308.0,2286,1,06-021
139.0,67.0,472.0,0.0,19.0,60.0,1660.0,981.0,25.0,84.0,661.0,0.0,139.0,84.0,2221.0,1228.0,591.0,170.0,626.0,149.0,2407,24027,798.0,783.0,24013,2402790512,Howard Precinct 06-014,2419125,24,248.0,2218,1,06-014
129.0,325.0,787.0,2.0,11.0,105.0,2704.0,1411.0,14.0,415.0,1124.0,4.0,129.0,162.0,3634.0,1786.0,650.0,230.0,690.0,207.0,2403,24027,1378.0,1330.0,24013,2402790512,Howard Precinct 06-016,2419125,24,373.0,3628,1,06-016
60.0,54.0,208.0,0.0,4.0,5.0,1142.0,852.0,4.0,67.0,266.0,0.0,60.0,5.0,1472.0,1070.0,471.0,195.0,510.0,165.0,2407,24027,569.0,560.0,24013,2402790512,Howard Precinct 06-006,2419125,24,61.0,1472,1,06-006
41.0,126.0,116.0,0.0,1.0,5.0,1146.0,870.0,2.0,166.0,142.0,0.0,41.0,5.0,1374.0,1018.0,243.0,151.0,264.0,133.0,2407,24027,800.0,762.0,2412B,2402790144,Howard Precinct 02-020,,24,45.0,1374,3,02-020
51.0,139.0,48.0,0.0,0.0,1.0,965.0,755.0,2.0,206.0,65.0,0.0,51.0,1.0,1363.0,1038.0,285.0,176.0,325.0,152.0,2407,24027,473.0,462.0,2409A,2402790144,Howard Precinct 02-013,2426000,24,38.0,1363,3,02-013
172.0,540.0,537.0,1.0,4.0,26.0,2260.0,1071.0,6.0,707.0,810.0,2.0,172.0,37.0,3098.0,1364.0,380.0,232.0,417.0,216.0,2407,24027,1245.0,1205.0,2412B,2402790144,Howard Precinct 02-004,,24,211.0,3096,3,02-004
106.0,322.0,235.0,2.0,8.0,2.0,2708.0,2091.0,11.0,456.0,327.0,2.0,106.0,3.0,3748.0,2843.0,683.0,632.0,764.0,566.0,2407,24027,1270.0,1244.0,2409A,2402790144,Howard Precinct 02-003,,24,92.0,3746,3,02-003
63.0,247.0,224.0,2.0,3.0,19.0,1701.0,1176.0,3.0,313.0,325.0,2.0,63.0,34.0,2210.0,1470.0,329.0,277.0,390.0,251.0,2407,24027,1007.0,978.0,2412A,2402790052,Howard Precinct 01-010,2441475,24,98.0,2210,1,01-010
14.0,68.0,64.0,0.0,1.0,1.0,366.0,223.0,1.0,82.0,84.0,0.0,14.0,1.0,440.0,258.0,33.0,39.0,40.0,33.0,2403,24027,266.0,229.0,2412A,2402790052,Howard Precinct 01-007,2441475,24,13.0,440,1,01-007
176.0,478.0,315.0,1.0,6.0,26.0,2763.0,1865.0,6.0,654.0,443.0,1.0,176.0,46.0,3713.0,2387.0,601.0,436.0,692.0,397.0,2403,24027,1514.0,1472.0,2412A,2402790052,Howard Precinct 01-003,2441475,24,181.0,3713,1,01-003
8.0,31.0,20.0,0.0,0.0,1.0,307.0,254.0,0.0,40.0,29.0,0.0,8.0,1.0,412.0,334.0,59.0,99.0,68.0,95.0,2407,24027,140.0,139.0,2412A,2402790052,Howard Precinct 01-012,2441475,24,9.0,412,1,01-012
11.0,76.0,60.0,0.0,0.0,3.0,595.0,452.0,0.0,112.0,87.0,0.0,11.0,3.0,930.0,717.0,150.0,156.0,201.0,120.0,2407,24027,261.0,259.0,2409A,2402790052,Howard Precinct 01-005,2441475,24,26.0,930,3,01-005
49.0,97.0,63.0,0.0,7.0,5.0,1106.0,917.0,7.0,158.0,99.0,0.0,49.0,7.0,1673.0,1353.0,316.0,344.0,392.0,281.0,2407,24027,518.0,515.0,2409A,2402790144,Howard Precinct 02-025,2426000,24,47.0,1673,3,02-025
80.0,441.0,180.0,2.0,1.0,9.0,2449.0,1785.0,3.0,664.0,269.0,2.0,80.0,14.0,3341.0,2309.0,402.0,439.0,493.0,358.0,2407,24027,1273.0,1220.0,2409A,2402790144,Howard Precinct 02-016,2426000,24,87.0,3341,3,02-016
122.0,332.0,268.0,0.0,3.0,28.0,1748.0,1069.0,6.0,457.0,388.0,0.0,122.0,39.0,2572.0,1560.0,414.0,240.0,459.0,226.0,2403,24027,866.0,847.0,24013,2402790052,Howard Precinct 01-009,2441475,24,176.0,2571,1,01-009
64.0,264.0,102.0,0.0,5.0,2.0,1552.0,1156.0,6.0,374.0,130.0,0.0,64.0,6.0,2083.0,1503.0,329.0,358.0,406.0,305.0,2403,24027,860.0,827.0,24013,2402790052,Howard Precinct 01-014,2441475,24,54.0,2083,1,01-014
163.0,331.0,309.0,1.0,8.0,70.0,2889.0,2100.0,8.0,443.0,468.0,2.0,163.0,114.0,4017.0,2819.0,531.0,526.0,549.0,504.0,2403,24027,1476.0,1420.0,24013,2402790052,Howard Precinct 01-002,,24,311.0,4014,1,01-002
115.0,382.0,282.0,0.0,1.0,26.0,2586.0,1855.0,2.0,562.0,460.0,0.0,115.0,49.0,4096.0,2908.0,678.0,657.0,746.0,603.0,2403,24027,1165.0,1146.0,2409A,2402790052,Howard Precinct 01-004,2441475,24,121.0,4096,1,01-004
57.0,108.0,102.0,0.0,2.0,0.0,1160.0,926.0,3.0,159.0,154.0,0.0,57.0,0.0,1664.0,1291.0,295.0,285.0,320.0,269.0,2403,24027,570.0,531.0,2412A,2402790052,Howard Precinct 01-011,,24,37.0,1663,1,01-011
132.0,616.0,151.0,3.0,3.0,6.0,2734.0,1905.0,4.0,865.0,209.0,6.0,132.0,8.0,3728.0,2504.0,520.0,571.0,602.0,507.0,2407,24027,1434.0,1320.0,2409A,2402790144,Howard Precinct 02-002,2426000,24,91.0,3727,3,02-002
63.0,571.0,317.0,0.0,18.0,23.0,2182.0,1223.0,21.0,828.0,486.0,0.0,63.0,39.0,2960.0,1523.0,381.0,311.0,452.0,246.0,2407,24027,1216.0,1159.0,2409A,2402790144,Howard Precinct 02-001,2426000,24,100.0,2958,3,02-001
88.0,921.0,450.0,0.0,8.0,60.0,2501.0,1007.0,18.0,1266.0,611.0,0.0,88.0,78.0,3252.0,1191.0,289.0,172.0,324.0,144.0,2407,24027,1421.0,1352.0,2409A,2402790144,Howard Precinct 02-023,2426000,24,180.0,3251,3,02-023
148.0,180.0,542.0,1.0,10.0,114.0,2072.0,1159.0,17.0,246.0,810.0,2.0,148.0,157.0,2825.0,1445.0,421.0,224.0,439.0,198.0,2407,24027,996.0,958.0,24013,2402790512,Howard Precinct 06-024,2470530,24,303.0,2823,2,06-024
178.0,289.0,667.0,1.0,5.0,71.0,2042.0,929.0,8.0,397.0,1038.0,1.0,178.0,103.0,2911.0,1186.0,455.0,227.0,481.0,189.0,2407,24027,1037.0,991.0,24013,2402790512,Howard Precinct 06-015,2470530,24,344.0,2907,2,06-015
168.0,186.0,1172.0,2.0,18.0,128.0,2655.0,1060.0,24.0,239.0,1540.0,3.0,168.0,197.0,3436.0,1265.0,389.0,134.0,402.0,126.0,2407,24027,1579.0,1512.0,24013,2402790512,Howard Precinct 06-034,2470530,24,509.0,3433,2,06-034
256.0,314.0,1148.0,5.0,7.0,86.0,3016.0,1339.0,15.0,416.0,1697.0,5.0,256.0,138.0,4307.0,1780.0,701.0,307.0,735.0,260.0,2407,24027,1585.0,1435.0,24013,2402790512,Howard Precinct 06-002,2470530,24,471.0,4305,2,06-002
124.0,715.0,669.0,1.0,10.0,28.0,2625.0,1143.0,12.0,1052.0,995.0,1.0,124.0,48.0,3828.0,1596.0,645.0,265.0,662.0,233.0,2407,24027,1370.0,1301.0,24013,2402790512,Howard Precinct 06-035,,24,190.0,3827,2,06-035
28.0,39.0,69.0,0.0,5.0,2.0,734.0,606.0,9.0,53.0,89.0,0.0,28.0,2.0,951.0,770.0,242.0,210.0,290.0,158.0,2403,24027,344.0,341.0,24013,2402790512,Howard Precinct 06-023,2419125,24,26.0,951,2,06-023
16.0,68.0,43.0,0.0,1.0,0.0,732.0,613.0,2.0,83.0,66.0,0.0,16.0,2.0,1005.0,836.0,144.0,246.0,223.0,171.0,2407,24027,325.0,323.0,24013,2402790512,Howard Precinct 06-025,2470530,24,51.0,1005,2,06-025
73.0,131.0,252.0,1.0,2.0,23.0,1712.0,1263.0,3.0,163.0,352.0,1.0,73.0,36.0,2224.0,1596.0,471.0,275.0,503.0,241.0,2403,24027,970.0,940.0,24013,2402790512,Howard Precinct 06-018,2419125,24,109.0,2223,2,06-018
163.0,215.0,546.0,2.0,3.0,41.0,2586.0,1709.0,5.0,256.0,786.0,2.0,163.0,57.0,3303.0,2034.0,700.0,287.0,729.0,260.0,2403,24027,1501.0,1431.0,24013,2402790512,Howard Precinct 06-026,2419125,24,156.0,3300,2,06-026
64.0,96.0,158.0,1.0,11.0,10.0,2016.0,1710.0,13.0,141.0,207.0,1.0,64.0,16.0,2605.0,2163.0,699.0,464.0,735.0,428.0,2403,24027,963.0,938.0,24013,2402790512,Howard Precinct 06-004,2419125,24,87.0,2603,1,06-004
129.0,379.0,574.0,1.0,5.0,32.0,2047.0,990.0,8.0,549.0,901.0,1.0,129.0,50.0,2976.0,1338.0,484.0,255.0,510.0,223.0,2407,24027,1029.0,972.0,24013,2402790512,Howard Precinct 06-027,,24,193.0,2975,2,06-027
103.0,308.0,496.0,0.0,13.0,96.0,2211.0,1251.0,15.0,429.0,749.0,0.0,103.0,136.0,2992.0,1560.0,311.0,319.0,341.0,281.0,2407,24027,1161.0,1062.0,24013,2402790512,Howard Precinct 06-001,,24,221.0,2983,2,06-001
