ELECTION_CODE,LBE,LBE_CODE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOTING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS,Percentage
GG14,Allegany,1,6,01A,008-000,OTHER PARTIES,9,0,0,1,22,45.45
GG14,Allegany,1,6,01A,008-000,REPUBLICAN,510,15,15,4,1087,50.05
GG14,Allegany,1,6,01A,008-000,UNAFFILIATED,82,3,3,2,303,29.70
GG14,Allegany,1,6,01A,009-000,DEMOCRAT,82,1,2,0,195,43.59
GG14,Allegany,1,6,01A,009-000,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01A,009-000,LIBERTARIAN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01A,009-000,OTHER PARTIES,3,0,0,0,4,75.00
GG14,Allegany,1,6,01A,009-000,REPUBLICAN,252,2,4,0,496,52.02
GG14,Allegany,1,6,01A,009-000,UNAFFILIATED,33,1,0,0,130,26.15
GG14,Allegany,1,6,01A,010-000,DEMOCRAT,83,1,6,0,228,39.47
GG14,Allegany,1,6,01A,010-000,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01A,010-000,LIBERTARIAN,0,0,1,0,2,50.00
GG14,Allegany,1,6,01A,010-000,OTHER PARTIES,1,0,0,0,4,25.00
GG14,Allegany,1,6,01A,010-000,REPUBLICAN,473,8,12,6,891,56.00
GG14,Allegany,1,6,01A,010-000,UNAFFILIATED,35,0,0,1,151,23.84
GG14,Allegany,1,6,01B,011-000,DEMOCRAT,168,10,12,2,353,54.39
GG14,Allegany,1,6,01B,011-000,GREEN,2,0,0,0,5,40.00
GG14,Allegany,1,6,01B,011-000,LIBERTARIAN,4,0,0,0,5,80.00
GG14,Allegany,1,6,01B,011-000,OTHER PARTIES,7,0,0,0,10,70.00
GG14,Allegany,1,6,01B,011-000,REPUBLICAN,196,9,17,2,372,60.22
GG14,Allegany,1,6,01B,011-000,UNAFFILIATED,35,1,1,1,125,30.40
GG14,Allegany,1,6,01B,012-000,DEMOCRAT,295,6,12,3,652,48.47
GG14,Allegany,1,6,01B,012-000,GREEN,2,0,2,0,11,36.36
GG14,Allegany,1,6,01B,012-000,LIBERTARIAN,4,1,0,0,11,45.45
GG14,Allegany,1,6,01B,012-000,OTHER PARTIES,5,0,0,1,16,37.50
GG14,Allegany,1,6,01B,012-000,REPUBLICAN,473,30,16,7,929,56.62
GG14,Allegany,1,6,01B,012-000,UNAFFILIATED,88,3,4,3,325,30.15
GG14,Allegany,1,6,01B,013-000,DEMOCRAT,192,13,3,1,495,42.22
GG14,Allegany,1,6,01B,013-000,GREEN,0,0,0,0,3,0.00
GG14,Allegany,1,6,01B,013-000,LIBERTARIAN,3,0,0,0,7,42.86
GG14,Allegany,1,6,01B,013-000,OTHER PARTIES,4,0,1,0,9,55.56
GG14,Allegany,1,6,01B,013-000,REPUBLICAN,355,16,11,2,715,53.71
GG14,Allegany,1,6,01B,013-000,UNAFFILIATED,73,2,0,2,231,33.33
GG14,Allegany,1,6,01B,014-000,DEMOCRAT,81,11,4,1,268,36.19
GG14,Allegany,1,6,01B,014-000,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01B,014-000,LIBERTARIAN,3,0,0,0,7,42.86
GG14,Allegany,1,6,01B,014-000,OTHER PARTIES,4,0,1,0,9,55.56
GG14,Allegany,1,6,01B,014-000,REPUBLICAN,68,5,3,1,157,49.04
GG14,Allegany,1,6,01B,014-000,UNAFFILIATED,25,3,0,0,86,32.56
GG14,Allegany,1,6,01C,016-000,DEMOCRAT,185,8,3,1,442,44.57
GG14,Allegany,1,6,01C,016-000,GREEN,0,0,0,0,5,0.00
GG14,Allegany,1,6,01C,016-000,LIBERTARIAN,3,0,0,0,11,27.27
GG14,Allegany,1,6,01C,016-000,OTHER PARTIES,6,2,0,0,14,57.14
GG14,Allegany,1,6,01C,016-000,REPUBLICAN,359,35,13,4,752,54.65
GG14,Allegany,1,6,01C,016-000,UNAFFILIATED,59,6,1,0,195,33.85
GG14,Allegany,1,6,01B,018-000,DEMOCRAT,143,2,10,0,323,47.99
GG14,Allegany,1,6,01B,018-000,GREEN,1,0,0,0,4,25.00
GG14,Allegany,1,6,01B,018-000,LIBERTARIAN,1,0,0,0,2,50.00
GG14,Allegany,1,6,01B,018-000,OTHER PARTIES,1,0,0,0,3,33.33
GG14,Allegany,1,6,01B,018-000,REPUBLICAN,499,27,25,2,858,64.45
GG14,Allegany,1,6,01B,018-000,UNAFFILIATED,32,0,1,1,137,24.82
GG14,Allegany,1,6,01B,020-000,DEMOCRAT,137,24,1,2,388,42.27
GG14,Allegany,1,6,01B,020-000,GREEN,0,0,0,0,7,0.00
GG14,Allegany,1,6,01B,020-000,LIBERTARIAN,2,0,0,0,3,66.67
GG14,Allegany,1,6,01B,020-000,OTHER PARTIES,0,0,1,0,10,10.00
GG14,Allegany,1,6,01B,020-000,REPUBLICAN,362,27,3,3,686,57.58
GG14,Allegany,1,6,01B,020-000,UNAFFILIATED,49,5,0,0,160,33.75
GG14,Allegany,1,6,01B,021-000,DEMOCRAT,109,7,2,0,236,50.00
GG14,Allegany,1,6,01B,021-000,GREEN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01B,021-000,LIBERTARIAN,1,0,0,0,1,100.00
GG14,Allegany,1,6,01B,021-000,OTHER PARTIES,3,0,0,0,8,37.50
GG14,Allegany,1,6,01B,021-000,REPUBLICAN,237,16,4,0,400,64.25
GG14,Allegany,1,6,01B,021-000,UNAFFILIATED,26,6,0,2,125,27.20
GG14,Allegany,1,6,01C,022-001,DEMOCRAT,206,35,17,2,632,41.14
GG14,Allegany,1,6,01C,022-001,GREEN,0,0,0,0,4,0.00
GG14,Allegany,1,6,01C,022-001,LIBERTARIAN,2,0,0,0,6,33.33
GG14,Allegany,1,6,01C,022-001,OTHER PARTIES,10,1,0,0,15,73.33
GG14,Allegany,1,6,01C,022-001,REPUBLICAN,242,42,10,4,589,50.59
GG14,Allegany,1,6,01C,022-001,UNAFFILIATED,58,10,1,2,265,26.79
GG14,Allegany,1,6,01B,022-002,DEMOCRAT,18,9,1,1,39,74.36
GG14,Allegany,1,6,01B,022-002,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01B,022-002,LIBERTARIAN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01B,022-002,OTHER PARTIES,0,0,0,0,0,0.00
GG14,Allegany,1,6,01B,022-002,REPUBLICAN,23,1,2,2,41,68.29
GG14,Allegany,1,6,01B,022-002,UNAFFILIATED,5,1,0,0,15,40.00
GG14,Allegany,1,6,01B,023-000,DEMOCRAT,282,33,18,3,769,43.69
GG14,Allegany,1,6,01B,023-000,GREEN,0,0,0,0,3,0.00
GG14,Allegany,1,6,01B,023-000,LIBERTARIAN,3,0,0,0,11,27.27
GG14,Allegany,1,6,01B,023-000,OTHER PARTIES,5,0,1,0,17,35.29
GG14,Allegany,1,6,01B,023-000,REPUBLICAN,341,17,15,1,679,55.08
GG14,Allegany,1,6,01B,023-000,UNAFFILIATED,76,7,1,2,317,27.13
GG14,Allegany,1,6,01B,024-000,DEMOCRAT,147,10,10,2,369,45.80
GG14,Allegany,1,6,01B,024-000,GREEN,2,0,0,0,6,33.33
GG14,Allegany,1,6,01B,024-000,LIBERTARIAN,2,0,0,0,5,40.00
GG14,Allegany,1,6,01B,024-000,OTHER PARTIES,7,0,1,0,14,57.14
GG14,Allegany,1,6,01B,024-000,REPUBLICAN,357,15,19,4,651,60.68
GG14,Allegany,1,6,01B,024-000,UNAFFILIATED,46,5,2,3,160,35.00
GG14,Allegany,1,6,01B,026-000,DEMOCRAT,277,12,10,5,588,51.70
GG14,Allegany,1,6,01B,026-000,GREEN,2,0,1,0,6,50.00
GG14,Allegany,1,6,01B,026-000,LIBERTARIAN,6,0,0,0,13,46.15
GG14,Allegany,1,6,01B,026-000,OTHER PARTIES,9,0,0,1,15,66.67
GG14,Allegany,1,6,01B,026-000,REPUBLICAN,379,17,10,4,713,57.50
GG14,Allegany,1,6,01B,026-000,UNAFFILIATED,76,2,4,3,302,28.15
GG14,Allegany,1,6,01B,029-001,DEMOCRAT,272,19,11,2,553,54.97
GG14,Allegany,1,6,01B,029-001,GREEN,0,0,0,0,5,0.00
GG14,Allegany,1,6,01B,029-001,LIBERTARIAN,2,0,0,0,10,20.00
GG14,Allegany,1,6,01B,029-001,OTHER PARTIES,8,1,0,0,16,56.25
GG14,Allegany,1,6,01B,029-001,REPUBLICAN,512,36,17,5,913,62.43
GG14,Allegany,1,6,01B,029-001,UNAFFILIATED,84,10,2,2,257,38.13
GG14,Allegany,1,6,01B,029-002,DEMOCRAT,221,17,8,3,511,48.73
GG14,Allegany,1,6,01B,029-002,GREEN,1,0,0,0,3,33.33
GG14,Allegany,1,6,01B,029-002,LIBERTARIAN,5,0,0,0,11,45.45
GG14,Allegany,1,6,01B,029-002,OTHER PARTIES,3,2,0,0,11,45.45
GG14,Allegany,1,6,01B,029-002,REPUBLICAN,445,46,17,12,820,63.41
GG14,Allegany,1,6,01B,029-002,UNAFFILIATED,81,5,2,3,206,44.17
GG14,Allegany,1,6,01B,029-003,DEMOCRAT,195,21,9,2,456,49.78
GG14,Allegany,1,6,01B,029-003,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,6,01B,029-003,LIBERTARIAN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01B,029-003,OTHER PARTIES,6,1,2,0,16,56.25
GG14,Allegany,1,6,01B,029-003,REPUBLICAN,308,31,9,2,558,62.72
GG14,Allegany,1,6,01B,029-003,UNAFFILIATED,43,2,1,0,145,31.72
GG14,Allegany,1,6,01A,031-000,DEMOCRAT,114,3,2,1,298,40.27
GG14,Allegany,1,6,01A,031-000,GREEN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01A,031-000,LIBERTARIAN,0,0,0,0,1,0.00
GG14,Allegany,1,6,01A,031-000,OTHER PARTIES,2,0,2,0,12,33.33
GG14,Allegany,1,6,01A,031-000,REPUBLICAN,286,14,3,0,537,56.42
GG14,Allegany,1,6,01A,031-000,UNAFFILIATED,39,0,0,2,159,25.79
GG14,Allegany,1,6,01B,034-000,DEMOCRAT,237,25,7,2,481,56.34
GG14,Allegany,1,6,01B,034-000,GREEN,0,0,0,0,4,0.00
GG14,Allegany,1,6,01B,034-000,LIBERTARIAN,0,1,0,0,4,25.00
GG14,Allegany,1,6,01B,034-000,OTHER PARTIES,4,0,0,0,7,57.14
GG14,Allegany,1,6,01B,034-000,REPUBLICAN,320,35,5,1,587,61.50
GG14,Allegany,1,6,01B,034-000,UNAFFILIATED,52,4,1,0,187,30.48
GG14,Allegany,1,,,Unable to Determine,DEMOCRAT,0,0,0,0,0,0.00
GG14,Allegany,1,,,Unable to Determine,GREEN,0,0,0,0,0,0.00
GG14,Allegany,1,,,Unable to Determine,LIBERTARIAN,0,0,0,0,0,0.00
GG14,Allegany,1,,,Unable to Determine,OTHER PARTIES,0,0,0,0,0,0.00
GG14,Allegany,1,,,Unable to Determine,REPUBLICAN,0,0,0,1,0,0.00
GG14,Allegany,1,,,Unable to Determine,UNAFFILIATED,0,0,0,0,0,0.00
GG14,Anne Arundel,2,3,32,001-001,DEMOCRAT,335,70,11,5,718,58.64
GG14,Anne Arundel,2,3,32,001-001,GREEN,0,0,0,0,1,0.00
GG14,Anne Arundel,2,3,32,001-001,LIBERTARIAN,3,0,1,0,12,33.33
GG14,Anne Arundel,2,3,32,001-001,OTHER PARTIES,1,1,0,0,4,50.00
GG14,Anne Arundel,2,3,32,001-001,REPUBLICAN,309,50,6,5,573,64.57
GG14,Anne Arundel,2,3,32,001-001,UNAFFILIATED,126,7,5,6,329,43.77
GG14,Anne Arundel,2,3,32,001-002,DEMOCRAT,268,32,11,3,576,54.51
GG14,Anne Arundel,2,3,32,001-002,GREEN,1,0,0,0,4,25.00
GG14,Anne Arundel,2,3,32,001-002,LIBERTARIAN,2,0,0,0,5,40.00
GG14,Anne Arundel,2,3,32,001-002,OTHER PARTIES,0,0,0,0,1,0.00
GG14,Anne Arundel,2,3,32,001-002,REPUBLICAN,338,41,7,3,575,67.65
GG14,Anne Arundel,2,3,32,001-002,UNAFFILIATED,108,10,2,6,299,42.14
GG14,Anne Arundel,2,3,32,001-003,DEMOCRAT,292,103,15,7,925,45.08
GG14,Anne Arundel,2,3,32,001-003,GREEN,1,0,0,0,3,33.33
GG14,Anne Arundel,2,3,32,001-003,LIBERTARIAN,5,1,0,0,16,37.50
GG14,Anne Arundel,2,3,32,001-003,OTHER PARTIES,2,0,0,0,2,100.00
GG14,Anne Arundel,2,3,32,001-003,REPUBLICAN,282,64,9,4,683,52.56
GG14,Anne Arundel,2,3,32,001-003,UNAFFILIATED,99,13,1,0,429,26.34
GG14,Anne Arundel,2,2,31A,001-004,DEMOCRAT,400,124,36,21,1169,49.70
GG14,Anne Arundel,2,2,31A,001-004,GREEN,1,0,0,1,4,50.00
GG14,Anne Arundel,2,2,31A,001-004,LIBERTARIAN,1,0,0,0,3,33.33
GG14,Anne Arundel,2,2,31A,001-004,OTHER PARTIES,1,0,0,0,1,100.00
GG14,Anne Arundel,2,2,31A,001-004,REPUBLICAN,149,36,12,8,378,54.23
GG14,Anne Arundel,2,2,31A,001-004,UNAFFILIATED,60,19,2,2,293,28.33
GG14,Anne Arundel,2,2,32,001-005,DEMOCRAT,236,85,8,3,689,48.19
GG14,Anne Arundel,2,2,32,001-005,GREEN,3,0,0,0,5,60.00
GG14,Anne Arundel,2,2,32,001-005,LIBERTARIAN,1,0,0,0,8,12.50
GG14,Anne Arundel,2,2,32,001-005,OTHER PARTIES,0,1,0,0,3,33.33
GG14,Anne Arundel,2,2,32,001-005,REPUBLICAN,177,61,6,3,493,50.10
GG14,Anne Arundel,2,2,32,001-005,UNAFFILIATED,99,23,3,1,357,35.29
GG14,Anne Arundel,2,2,32,001-006,DEMOCRAT,417,102,11,11,1078,50.19
GG14,Anne Arundel,2,2,32,001-006,GREEN,1,0,0,0,7,14.29
GG14,Anne Arundel,2,2,32,001-006,LIBERTARIAN,2,0,0,0,11,18.18
GG14,Anne Arundel,2,2,32,001-006,OTHER PARTIES,0,0,0,0,1,0.00
GG14,Anne Arundel,2,2,32,001-006,REPUBLICAN,210,36,5,4,491,51.93
GG14,Anne Arundel,2,2,32,001-006,UNAFFILIATED,121,25,2,2,480,31.25
GG14,Anne Arundel,2,2,32,001-007,DEMOCRAT,258,31,7,4,615,48.78
GG14,Anne Arundel,2,2,32,001-007,GREEN,3,0,0,0,5,60.00
GG14,Anne Arundel,2,2,32,001-007,LIBERTARIAN,2,1,0,0,7,42.86
GG14,Anne Arundel,2,2,32,001-007,OTHER PARTIES,1,0,0,0,2,50.00
GG14,Anne Arundel,2,2,32,001-007,REPUBLICAN,302,27,2,4,547,61.24
GG14,Anne Arundel,2,2,32,001-007,UNAFFILIATED,113,2,4,7,346,36.42
GG14,Anne Arundel,2,3,32,001-008,DEMOCRAT,349,86,10,9,877,51.77
GG14,Anne Arundel,2,3,32,001-008,GREEN,0,0,0,0,3,0.00
GG14,Anne Arundel,2,3,32,001-008,LIBERTARIAN,2,1,0,0,8,37.50
GG14,Anne Arundel,2,3,32,001-008,OTHER PARTIES,0,1,0,1,3,66.67
GG14,Anne Arundel,2,3,32,001-008,REPUBLICAN,380,61,4,5,739,60.89
GG14,Anne Arundel,2,3,32,001-008,UNAFFILIATED,128,18,4,2,456,33.33
GG14,Anne Arundel,2,3,32,001-009,DEMOCRAT,264,90,5,2,766,47.13
GG14,Anne Arundel,2,3,32,001-009,GREEN,0,0,0,0,3,0.00
GG14,Anne Arundel,2,3,32,001-009,LIBERTARIAN,4,0,0,0,10,40.00
GG14,Anne Arundel,2,3,32,001-009,OTHER PARTIES,1,0,0,0,2,50.00
GG14,Anne Arundel,2,3,32,001-009,REPUBLICAN,340,73,9,0,687,61.43
GG14,Anne Arundel,2,3,32,001-009,UNAFFILIATED,110,13,3,0,376,33.51
GG14,Anne Arundel,2,2,32,001-010,DEMOCRAT,236,33,10,3,508,55.51
GG14,Anne Arundel,2,2,32,001-010,GREEN,0,0,0,0,4,0.00
GG14,Anne Arundel,2,2,32,001-010,LIBERTARIAN,2,1,0,0,6,50.00
GG14,Anne Arundel,2,2,32,001-010,OTHER PARTIES,0,0,0,0,1,0.00
GG14,Anne Arundel,2,2,32,001-010,REPUBLICAN,308,34,8,5,509,69.74
GG14,Anne Arundel,2,2,32,001-010,UNAFFILIATED,95,7,3,3,260,41.54
GG14,Anne Arundel,2,2,32,001-011,DEMOCRAT,210,25,11,2,404,61.39
GG14,Anne Arundel,2,2,32,001-011,GREEN,2,0,0,0,4,50.00
GG14,Anne Arundel,2,2,32,001-011,LIBERTARIAN,0,0,0,0,1,0.00
GG14,Anne Arundel,2,2,32,001-011,OTHER PARTIES,1,0,0,0,1,100.00
GG14,Anne Arundel,2,2,32,001-011,REPUBLICAN,271,27,4,7,463,66.74
GG14,Anne Arundel,2,2,32,001-011,UNAFFILIATED,89,3,1,1,211,44.55
GG14,Anne Arundel,2,2,31A,001-012,DEMOCRAT,384,101,24,34,1403,38.70
GG14,Anne Arundel,2,2,31A,001-012,GREEN,0,0,0,0,1,0.00
GG14,Anne Arundel,2,2,31A,001-012,LIBERTARIAN,6,0,0,0,12,50.00
GG14,Anne Arundel,2,2,31A,001-012,OTHER PARTIES,2,0,0,0,4,50.00
GG14,Anne Arundel,2,2,31A,001-012,REPUBLICAN,144,31,0,4,388,46.13
GG14,Anne Arundel,2,2,31A,001-012,UNAFFILIATED,92,18,1,7,437,27.00
GG14,Anne Arundel,2,2,31A,001-013,DEMOCRAT,172,23,2,6,567,35.80
GG14,Anne Arundel,2,2,31A,001-013,GREEN,1,0,0,0,3,33.33
GG14,Anne Arundel,2,2,31A,001-013,LIBERTARIAN,3,1,0,0,6,66.67
GG14,Anne Arundel,2,2,31A,001-013,OTHER PARTIES,0,0,0,0,0,0.00
GG14,Anne Arundel,2,2,31A,001-013,REPUBLICAN,97,17,1,3,239,49.37
GG14,Anne Arundel,2,2,31A,001-013,UNAFFILIATED,46,4,0,3,234,22.65
GG14,Anne Arundel,2,3,31A,001-014,DEMOCRAT,310,78,20,28,849,51.35
GG14,Anne Arundel,2,3,31A,001-014,GREEN,0,0,0,0,1,0.00
GG14,Anne Arundel,2,3,31A,001-014,LIBERTARIAN,1,0,0,0,5,20.00
GG14,Anne Arundel,2,3,31A,001-014,OTHER PARTIES,0,1,0,1,3,66.67
GG14,Anne Arundel,2,3,31A,001-014,REPUBLICAN,225,45,12,12,492,59.76
GG14,Anne Arundel,2,3,31A,001-014,UNAFFILIATED,72,21,1,10,321,32.40
GG14,Anne Arundel,2,2,31A,001-015,DEMOCRAT,359,38,12,6,847,49.00
GG14,Anne Arundel,2,2,31A,001-015,GREEN,0,0,0,0,5,0.00
GG14,Anne Arundel,2,2,31A,001-015,LIBERTARIAN,3,0,0,0,7,42.86
