"Election_Code","LBE","LBE_Code","Congressional_District_Code","Legislative_District_Code","Precinct","Party","Polls","Early_Voting","Absentee","Provisional","Eligible_Voters","Percentage"
"GG14","Allegany",1,6,"01C","006-003","Unaffiliated",27,1,0,2,89,0.337078651685393
"GG14","Allegany",1,6,"01C","006-005","Democrat",189,33,14,2,430,0.553488372093023
"GG14","Allegany",1,6,"01C","006-005","Green",0,0,0,0,2,0
"GG14","Allegany",1,6,"01C","006-005","Libertarian",1,0,0,0,7,0.142857142857143
"GG14","Allegany",1,6,"01C","006-005","Other Parties",2,1,0,0,9,0.333333333333333
"GG14","Allegany",1,6,"01C","006-005","Republican",202,35,16,2,418,0.610047846889952
"GG14","Allegany",1,6,"01C","006-005","Unaffiliated",47,3,0,1,156,0.326923076923077
"GG14","Allegany",1,6,"01B","006-006","Democrat",206,27,3,2,531,0.448210922787194
"GG14","Allegany",1,6,"01B","006-006","Green",3,0,0,0,4,0.75
"GG14","Allegany",1,6,"01B","006-006","Libertarian",3,0,0,0,5,0.6
"GG14","Allegany",1,6,"01B","006-006","Other Parties",4,0,0,0,7,0.571428571428571
"GG14","Allegany",1,6,"01B","006-006","Republican",299,34,4,0,614,0.54885993485342
"GG14","Allegany",1,6,"01B","006-006","Unaffiliated",52,3,1,0,198,0.282828282828283
"GG14","Allegany",1,6,"01B","007-001","Democrat",233,13,10,1,512,0.501953125
"GG14","Allegany",1,6,"01B","007-001","Green",0,1,0,0,3,0.333333333333333
"GG14","Allegany",1,6,"01B","007-001","Libertarian",3,0,0,0,6,0.5
"GG14","Allegany",1,6,"01B","007-001","Other Parties",5,0,0,1,13,0.461538461538462
"GG14","Allegany",1,6,"01B","007-001","Republican",350,22,14,0,680,0.567647058823529
"GG14","Allegany",1,6,"01B","007-001","Unaffiliated",61,8,1,3,216,0.337962962962963
"GG14","Allegany",1,6,"01A","007-002","Democrat",218,20,8,2,515,0.481553398058252
"GG14","Allegany",1,6,"01A","007-002","Green",0,0,0,0,1,0
"GG14","Allegany",1,6,"01A","007-002","Libertarian",2,0,0,0,3,0.666666666666667
"GG14","Allegany",1,6,"01A","007-002","Other Parties",11,0,0,0,16,0.6875
"GG14","Allegany",1,6,"01A","007-002","Republican",440,23,14,3,776,0.618556701030928
"GG14","Allegany",1,6,"01A","007-002","Unaffiliated",71,5,0,1,207,0.371980676328502
"GG14","Allegany",1,6,"01A","008-000","Democrat",265,3,14,1,673,0.420505200594354
"GG14","Allegany",1,6,"01A","008-000","Green",1,0,0,0,2,0.5
"GG14","Allegany",1,6,"01A","008-000","Libertarian",2,0,0,0,7,0.285714285714286
"GG14","Allegany",1,6,"01A","008-000","Other Parties",9,0,0,1,22,0.454545454545455
"GG14","Allegany",1,6,"01A","008-000","Republican",510,15,15,4,1087,0.500459981600736
"GG14","Allegany",1,6,"01A","008-000","Unaffiliated",82,3,3,2,303,0.297029702970297
"GG14","Allegany",1,6,"01A","009-000","Democrat",82,1,2,0,195,0.435897435897436
"GG14","Allegany",1,6,"01A","009-000","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01A","009-000","Libertarian",0,0,0,0,1,0
"GG14","Allegany",1,6,"01A","009-000","Other Parties",3,0,0,0,4,0.75
"GG14","Allegany",1,6,"01A","009-000","Republican",252,2,4,0,496,0.520161290322581
"GG14","Allegany",1,6,"01A","009-000","Unaffiliated",33,1,0,0,130,0.261538461538462
"GG14","Allegany",1,6,"01A","010-000","Democrat",83,1,6,0,228,0.394736842105263
"GG14","Allegany",1,6,"01A","010-000","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01A","010-000","Libertarian",0,0,1,0,2,0.5
"GG14","Allegany",1,6,"01A","010-000","Other Parties",1,0,0,0,4,0.25
"GG14","Allegany",1,6,"01A","010-000","Republican",473,8,12,6,891,0.560044893378227
"GG14","Allegany",1,6,"01A","010-000","Unaffiliated",35,0,0,1,151,0.23841059602649
"GG14","Allegany",1,6,"01B","011-000","Democrat",168,10,12,2,353,0.543909348441926
"GG14","Allegany",1,6,"01B","011-000","Green",2,0,0,0,5,0.4
"GG14","Allegany",1,6,"01B","011-000","Libertarian",4,0,0,0,5,0.8
"GG14","Allegany",1,6,"01B","011-000","Other Parties",7,0,0,0,10,0.7
"GG14","Allegany",1,6,"01B","011-000","Republican",196,9,17,2,372,0.602150537634409
"GG14","Allegany",1,6,"01B","011-000","Unaffiliated",35,1,1,1,125,0.304
"GG14","Allegany",1,6,"01B","012-000","Democrat",295,6,12,3,652,0.484662576687117
"GG14","Allegany",1,6,"01B","012-000","Green",2,0,2,0,11,0.363636363636364
"GG14","Allegany",1,6,"01B","012-000","Libertarian",4,1,0,0,11,0.454545454545455
"GG14","Allegany",1,6,"01B","012-000","Other Parties",5,0,0,1,16,0.375
"GG14","Allegany",1,6,"01B","012-000","Republican",473,30,16,7,929,0.566200215285253
"GG14","Allegany",1,6,"01B","012-000","Unaffiliated",88,3,4,3,325,0.301538461538462
"GG14","Allegany",1,6,"01B","013-000","Democrat",192,13,3,1,495,0.422222222222222
"GG14","Allegany",1,6,"01B","013-000","Green",0,0,0,0,3,0
"GG14","Allegany",1,6,"01B","013-000","Libertarian",3,0,0,0,7,0.428571428571429
"GG14","Allegany",1,6,"01B","013-000","Other Parties",4,0,1,0,9,0.555555555555556
"GG14","Allegany",1,6,"01B","013-000","Republican",355,16,11,2,715,0.537062937062937
"GG14","Allegany",1,6,"01B","013-000","Unaffiliated",73,2,0,2,231,0.333333333333333
"GG14","Allegany",1,6,"01B","014-000","Democrat",81,11,4,1,268,0.361940298507463
"GG14","Allegany",1,6,"01B","014-000","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01B","014-000","Libertarian",3,0,0,0,7,0.428571428571429
"GG14","Allegany",1,6,"01B","014-000","Other Parties",4,0,1,0,9,0.555555555555556
"GG14","Allegany",1,6,"01B","014-000","Republican",68,5,3,1,157,0.490445859872611
"GG14","Allegany",1,6,"01B","014-000","Unaffiliated",25,3,0,0,86,0.325581395348837
"GG14","Allegany",1,6,"01C","016-000","Democrat",185,8,3,1,442,0.445701357466063
"GG14","Allegany",1,6,"01C","016-000","Green",0,0,0,0,5,0
"GG14","Allegany",1,6,"01C","016-000","Libertarian",3,0,0,0,11,0.272727272727273
"GG14","Allegany",1,6,"01C","016-000","Other Parties",6,2,0,0,14,0.571428571428571
"GG14","Allegany",1,6,"01C","016-000","Republican",359,35,13,4,752,0.546542553191489
"GG14","Allegany",1,6,"01C","016-000","Unaffiliated",59,6,1,0,195,0.338461538461538
"GG14","Allegany",1,6,"01B","018-000","Democrat",143,2,10,0,323,0.479876160990712
"GG14","Allegany",1,6,"01B","018-000","Green",1,0,0,0,4,0.25
"GG14","Allegany",1,6,"01B","018-000","Libertarian",1,0,0,0,2,0.5
"GG14","Allegany",1,6,"01B","018-000","Other Parties",1,0,0,0,3,0.333333333333333
"GG14","Allegany",1,6,"01B","018-000","Republican",499,27,25,2,858,0.644522144522145
"GG14","Allegany",1,6,"01B","018-000","Unaffiliated",32,0,1,1,137,0.248175182481752
"GG14","Allegany",1,6,"01B","020-000","Democrat",137,24,1,2,388,0.422680412371134
"GG14","Allegany",1,6,"01B","020-000","Green",0,0,0,0,7,0
"GG14","Allegany",1,6,"01B","020-000","Libertarian",2,0,0,0,3,0.666666666666667
"GG14","Allegany",1,6,"01B","020-000","Other Parties",0,0,1,0,10,0.1
"GG14","Allegany",1,6,"01B","020-000","Republican",362,27,3,3,686,0.575801749271137
"GG14","Allegany",1,6,"01B","020-000","Unaffiliated",49,5,0,0,160,0.3375
"GG14","Allegany",1,6,"01B","021-000","Democrat",109,7,2,0,236,0.5
"GG14","Allegany",1,6,"01B","021-000","Green",0,0,0,0,1,0
"GG14","Allegany",1,6,"01B","021-000","Libertarian",1,0,0,0,1,1
"GG14","Allegany",1,6,"01B","021-000","Other Parties",3,0,0,0,8,0.375
"GG14","Allegany",1,6,"01B","021-000","Republican",237,16,4,0,400,0.6425
"GG14","Allegany",1,6,"01B","021-000","Unaffiliated",26,6,0,2,125,0.272
"GG14","Allegany",1,6,"01C","022-001","Democrat",206,35,17,2,632,0.411392405063291
"GG14","Allegany",1,6,"01C","022-001","Green",0,0,0,0,4,0
"GG14","Allegany",1,6,"01C","022-001","Libertarian",2,0,0,0,6,0.333333333333333
"GG14","Allegany",1,6,"01C","022-001","Other Parties",10,1,0,0,15,0.733333333333333
"GG14","Allegany",1,6,"01C","022-001","Republican",242,42,10,4,589,0.505942275042445
"GG14","Allegany",1,6,"01C","022-001","Unaffiliated",58,10,1,2,265,0.267924528301887
"GG14","Allegany",1,6,"01B","022-002","Democrat",18,9,1,1,39,0.743589743589744
"GG14","Allegany",1,6,"01B","022-002","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01B","022-002","Libertarian",0,0,0,0,1,0
"GG14","Allegany",1,6,"01B","022-002","Other Parties",0,0,0,0,0,0
"GG14","Allegany",1,6,"01B","022-002","Republican",23,1,2,2,41,0.682926829268293
"GG14","Allegany",1,6,"01B","022-002","Unaffiliated",5,1,0,0,15,0.4
"GG14","Allegany",1,6,"01B","023-000","Democrat",282,33,18,3,769,0.436931079323797
"GG14","Allegany",1,6,"01B","023-000","Green",0,0,0,0,3,0
"GG14","Allegany",1,6,"01B","023-000","Libertarian",3,0,0,0,11,0.272727272727273
"GG14","Allegany",1,6,"01B","023-000","Other Parties",5,0,1,0,17,0.352941176470588
"GG14","Allegany",1,6,"01B","023-000","Republican",341,17,15,1,679,0.550810014727541
"GG14","Allegany",1,6,"01B","023-000","Unaffiliated",76,7,1,2,317,0.271293375394322
"GG14","Allegany",1,6,"01B","024-000","Democrat",147,10,10,2,369,0.457994579945799
"GG14","Allegany",1,6,"01B","024-000","Green",2,0,0,0,6,0.333333333333333
"GG14","Allegany",1,6,"01B","024-000","Libertarian",2,0,0,0,5,0.4
"GG14","Allegany",1,6,"01B","024-000","Other Parties",7,0,1,0,14,0.571428571428571
"GG14","Allegany",1,6,"01B","024-000","Republican",357,15,19,4,651,0.606758832565284
"GG14","Allegany",1,6,"01B","024-000","Unaffiliated",46,5,2,3,160,0.35
"GG14","Allegany",1,6,"01B","026-000","Democrat",277,12,10,5,588,0.517006802721088
"GG14","Allegany",1,6,"01B","026-000","Green",2,0,1,0,6,0.5
"GG14","Allegany",1,6,"01B","026-000","Libertarian",6,0,0,0,13,0.461538461538462
"GG14","Allegany",1,6,"01B","026-000","Other Parties",9,0,0,1,15,0.666666666666667
"GG14","Allegany",1,6,"01B","026-000","Republican",379,17,10,4,713,0.575035063113605
"GG14","Allegany",1,6,"01B","026-000","Unaffiliated",76,2,4,3,302,0.281456953642384
"GG14","Allegany",1,6,"01B","029-001","Democrat",272,19,11,2,553,0.549728752260398
"GG14","Allegany",1,6,"01B","029-001","Green",0,0,0,0,5,0
"GG14","Allegany",1,6,"01B","029-001","Libertarian",2,0,0,0,10,0.2
"GG14","Allegany",1,6,"01B","029-001","Other Parties",8,1,0,0,16,0.5625
"GG14","Allegany",1,6,"01B","029-001","Republican",512,36,17,5,913,0.624315443592552
"GG14","Allegany",1,6,"01B","029-001","Unaffiliated",84,10,2,2,257,0.381322957198444
"GG14","Allegany",1,6,"01B","029-002","Democrat",221,17,8,3,511,0.487279843444227
"GG14","Allegany",1,6,"01B","029-002","Green",1,0,0,0,3,0.333333333333333
"GG14","Allegany",1,6,"01B","029-002","Libertarian",5,0,0,0,11,0.454545454545455
"GG14","Allegany",1,6,"01B","029-002","Other Parties",3,2,0,0,11,0.454545454545455
"GG14","Allegany",1,6,"01B","029-002","Republican",445,46,17,12,820,0.634146341463415
"GG14","Allegany",1,6,"01B","029-002","Unaffiliated",81,5,2,3,206,0.441747572815534
"GG14","Allegany",1,6,"01B","029-003","Democrat",195,21,9,2,456,0.49780701754386
"GG14","Allegany",1,6,"01B","029-003","Green",0,0,0,0,0,0
"GG14","Allegany",1,6,"01B","029-003","Libertarian",0,0,0,0,1,0
"GG14","Allegany",1,6,"01B","029-003","Other Parties",6,1,2,0,16,0.5625
"GG14","Allegany",1,6,"01B","029-003","Republican",308,31,9,2,558,0.627240143369176
"GG14","Allegany",1,6,"01B","029-003","Unaffiliated",43,2,1,0,145,0.317241379310345
"GG14","Allegany",1,6,"01A","031-000","Democrat",114,3,2,1,298,0.402684563758389
"GG14","Allegany",1,6,"01A","031-000","Green",0,0,0,0,1,0
"GG14","Allegany",1,6,"01A","031-000","Libertarian",0,0,0,0,1,0
"GG14","Allegany",1,6,"01A","031-000","Other Parties",2,0,2,0,12,0.333333333333333
"GG14","Allegany",1,6,"01A","031-000","Republican",286,14,3,0,537,0.564245810055866
"GG14","Allegany",1,6,"01A","031-000","Unaffiliated",39,0,0,2,159,0.257861635220126
"GG14","Allegany",1,6,"01B","034-000","Democrat",237,25,7,2,481,0.563409563409563
"GG14","Allegany",1,6,"01B","034-000","Green",0,0,0,0,4,0
"GG14","Allegany",1,6,"01B","034-000","Libertarian",0,1,0,0,4,0.25
"GG14","Allegany",1,6,"01B","034-000","Other Parties",4,0,0,0,7,0.571428571428571
"GG14","Allegany",1,6,"01B","034-000","Republican",320,35,5,1,587,0.614991482112436
"GG14","Allegany",1,6,"01B","034-000","Unaffiliated",52,4,1,0,187,0.304812834224599
"GG14","Allegany",1,NA,NA,"Unable to Determine","Democrat",0,0,0,0,0,0
"GG14","Allegany",1,NA,NA,"Unable to Determine","Green",0,0,0,0,0,0
"GG14","Allegany",1,NA,NA,"Unable to Determine","Libertarian",0,0,0,0,0,0
"GG14","Allegany",1,NA,NA,"Unable to Determine","Other Parties",0,0,0,0,0,0
"GG14","Allegany",1,NA,NA,"Unable to Determine","Republican",0,0,0,1,0,0
"GG14","Allegany",1,NA,NA,"Unable to Determine","Unaffiliated",0,0,0,0,0,0
"GG14","Anne Arundel",2,3,"32","001-001","Democrat",335,70,11,5,718,0.586350974930362
"GG14","Anne Arundel",2,3,"32","001-001","Green",0,0,0,0,1,0
"GG14","Anne Arundel",2,3,"32","001-001","Libertarian",3,0,1,0,12,0.333333333333333
"GG14","Anne Arundel",2,3,"32","001-001","Other Parties",1,1,0,0,4,0.5
"GG14","Anne Arundel",2,3,"32","001-001","Republican",309,50,6,5,573,0.645724258289703
"GG14","Anne Arundel",2,3,"32","001-001","Unaffiliated",126,7,5,6,329,0.437689969604863
"GG14","Anne Arundel",2,3,"32","001-002","Democrat",268,32,11,3,576,0.545138888888889
"GG14","Anne Arundel",2,3,"32","001-002","Green",1,0,0,0,4,0.25
"GG14","Anne Arundel",2,3,"32","001-002","Libertarian",2,0,0,0,5,0.4
"GG14","Anne Arundel",2,3,"32","001-002","Other Parties",0,0,0,0,1,0
"GG14","Anne Arundel",2,3,"32","001-002","Republican",338,41,7,3,575,0.676521739130435
"GG14","Anne Arundel",2,3,"32","001-002","Unaffiliated",108,10,2,6,299,0.421404682274247
"GG14","Anne Arundel",2,3,"32","001-003","Democrat",292,103,15,7,925,0.450810810810811
"GG14","Anne Arundel",2,3,"32","001-003","Green",1,0,0,0,3,0.333333333333333
"GG14","Anne Arundel",2,3,"32","001-003","Libertarian",5,1,0,0,16,0.375
"GG14","Anne Arundel",2,3,"32","001-003","Other Parties",2,0,0,0,2,1
"GG14","Anne Arundel",2,3,"32","001-003","Republican",282,64,9,4,683,0.525622254758419
"GG14","Anne Arundel",2,3,"32","001-003","Unaffiliated",99,13,1,0,429,0.263403263403263
"GG14","Anne Arundel",2,2,"31A","001-004","Democrat",400,124,36,21,1169,0.497005988023952
"GG14","Anne Arundel",2,2,"31A","001-004","Green",1,0,0,1,4,0.5
"GG14","Anne Arundel",2,2,"31A","001-004","Libertarian",1,0,0,0,3,0.333333333333333
"GG14","Anne Arundel",2,2,"31A","001-004","Other Parties",1,0,0,0,1,1
"GG14","Anne Arundel",2,2,"31A","001-004","Republican",149,36,12,8,378,0.542328042328042
"GG14","Anne Arundel",2,2,"31A","001-004","Unaffiliated",60,19,2,2,293,0.283276450511945
"GG14","Anne Arundel",2,2,"32","001-005","Democrat",236,85,8,3,689,0.481857764876633
"GG14","Anne Arundel",2,2,"32","001-005","Green",3,0,0,0,5,0.6
"GG14","Anne Arundel",2,2,"32","001-005","Libertarian",1,0,0,0,8,0.125
"GG14","Anne Arundel",2,2,"32","001-005","Other Parties",0,1,0,0,3,0.333333333333333
"GG14","Anne Arundel",2,2,"32","001-005","Republican",177,61,6,3,493,0.501014198782961
"GG14","Anne Arundel",2,2,"32","001-005","Unaffiliated",99,23,3,1,357,0.352941176470588
"GG14","Anne Arundel",2,2,"32","001-006","Democrat",417,102,11,11,1078,0.501855287569573
"GG14","Anne Arundel",2,2,"32","001-006","Green",1,0,0,0,7,0.142857142857143
"GG14","Anne Arundel",2,2,"32","001-006","Libertarian",2,0,0,0,11,0.181818181818182
"GG14","Anne Arundel",2,2,"32","001-006","Other Parties",0,0,0,0,1,0
"GG14","Anne Arundel",2,2,"32","001-006","Republican",210,36,5,4,491,0.519348268839104
"GG14","Anne Arundel",2,2,"32","001-006","Unaffiliated",121,25,2,2,480,0.3125
"GG14","Anne Arundel",2,2,"32","001-007","Democrat",258,31,7,4,615,0.48780487804878
"GG14","Anne Arundel",2,2,"32","001-007","Green",3,0,0,0,5,0.6
"GG14","Anne Arundel",2,2,"32","001-007","Libertarian",2,1,0,0,7,0.428571428571429
"GG14","Anne Arundel",2,2,"32","001-007","Other Parties",1,0,0,0,2,0.5
"GG14","Anne Arundel",2,2,"32","001-007","Republican",302,27,2,4,547,0.612431444241316
"GG14","Anne Arundel",2,2,"32","001-007","Unaffiliated",113,2,4,7,346,0.364161849710983
"GG14","Anne Arundel",2,3,"32","001-008","Democrat",349,86,10,9,877,0.517673888255416
"GG14","Anne Arundel",2,3,"32","001-008","Green",0,0,0,0,3,0
"GG14","Anne Arundel",2,3,"32","001-008","Libertarian",2,1,0,0,8,0.375
"GG14","Anne Arundel",2,3,"32","001-008","Other Parties",0,1,0,1,3,0.666666666666667
"GG14","Anne Arundel",2,3,"32","001-008","Republican",380,61,4,5,739,0.60893098782138
"GG14","Anne Arundel",2,3,"32","001-008","Unaffiliated",128,18,4,2,456,0.333333333333333
"GG14","Anne Arundel",2,3,"32","001-009","Democrat",264,90,5,2,766,0.471279373368146
"GG14","Anne Arundel",2,3,"32","001-009","Green",0,0,0,0,3,0
"GG14","Anne Arundel",2,3,"32","001-009","Libertarian",4,0,0,0,10,0.4
"GG14","Anne Arundel",2,3,"32","001-009","Other Parties",1,0,0,0,2,0.5
"GG14","Anne Arundel",2,3,"32","001-009","Republican",340,73,9,0,687,0.614264919941776
"GG14","Anne Arundel",2,3,"32","001-009","Unaffiliated",110,13,3,0,376,0.335106382978723
"GG14","Anne Arundel",2,2,"32","001-010","Democrat",236,33,10,3,508,0.55511811023622
"GG14","Anne Arundel",2,2,"32","001-010","Green",0,0,0,0,4,0
"GG14","Anne Arundel",2,2,"32","001-010","Libertarian",2,1,0,0,6,0.5
"GG14","Anne Arundel",2,2,"32","001-010","Other Parties",0,0,0,0,1,0
"GG14","Anne Arundel",2,2,"32","001-010","Republican",308,34,8,5,509,0.697445972495088
"GG14","Anne Arundel",2,2,"32","001-010","Unaffiliated",95,7,3,3,260,0.415384615384615
"GG14","Anne Arundel",2,2,"32","001-011","Democrat",210,25,11,2,404,0.613861386138614
"GG14","Anne Arundel",2,2,"32","001-011","Green",2,0,0,0,4,0.5
"GG14","Anne Arundel",2,2,"32","001-011","Libertarian",0,0,0,0,1,0
"GG14","Anne Arundel",2,2,"32","001-011","Other Parties",1,0,0,0,1,1
"GG14","Anne Arundel",2,2,"32","001-011","Republican",271,27,4,7,463,0.667386609071274
"GG14","Anne Arundel",2,2,"32","001-011","Unaffiliated",89,3,1,1,211,0.445497630331754
"GG14","Anne Arundel",2,2,"31A","001-012","Democrat",384,101,24,34,1403,0.387027797576622
"GG14","Anne Arundel",2,2,"31A","001-012","Green",0,0,0,0,1,0
"GG14","Anne Arundel",2,2,"31A","001-012","Libertarian",6,0,0,0,12,0.5
"GG14","Anne Arundel",2,2,"31A","001-012","Other Parties",2,0,0,0,4,0.5
"GG14","Anne Arundel",2,2,"31A","001-012","Republican",144,31,0,4,388,0.461340206185567
"GG14","Anne Arundel",2,2,"31A","001-012","Unaffiliated",92,18,1,7,437,0.270022883295195
"GG14","Anne Arundel",2,2,"31A","001-013","Democrat",172,23,2,6,567,0.358024691358025
"GG14","Anne Arundel",2,2,"31A","001-013","Green",1,0,0,0,3,0.333333333333333
"GG14","Anne Arundel",2,2,"31A","001-013","Libertarian",3,1,0,0,6,0.666666666666667
"GG14","Anne Arundel",2,2,"31A","001-013","Other Parties",0,0,0,0,0,0
"GG14","Anne Arundel",2,2,"31A","001-013","Republican",97,17,1,3,239,0.493723849372385
"GG14","Anne Arundel",2,2,"31A","001-013","Unaffiliated",46,4,0,3,234,0.226495726495726
"GG14","Anne Arundel",2,3,"31A","001-014","Democrat",310,78,20,28,849,0.513545347467609
"GG14","Anne Arundel",2,3,"31A","001-014","Green",0,0,0,0,1,0
"GG14","Anne Arundel",2,3,"31A","001-014","Libertarian",1,0,0,0,5,0.2
"GG14","Anne Arundel",2,3,"31A","001-014","Other Parties",0,1,0,1,3,0.666666666666667
"GG14","Anne Arundel",2,3,"31A","001-014","Republican",225,45,12,12,492,0.597560975609756
"GG14","Anne Arundel",2,3,"31A","001-014","Unaffiliated",72,21,1,10,321,0.32398753894081
